name	x	y	level	cluster	boundary
374	-11.259036	-249.72289	1	0	false
29	537.5272	345.9074	1	5	false
389	-171.75719	128.21916	1	1	false
342	17.918514	-243.14127	1	0	false
64	-81.19258	253.93024	1	1	false
277	-203.60417	-153.60606	1	0	false
41	436.8244	140.87178	1	0	false
12	462.48718	417.36023	1	5	false
53	-185.89554	-199.78835	1	0	false
62	222.65308	-182.55804	1	0	false
365	-97.87221	-251.4343	1	0	false
225	166.6304	-206.29951	1	0	false
25	254.71075	543.12476	1	5	false
321	-248.12631	11.106681	1	3	true
330	-108.59976	-194.8812	2	0	false
338	-173.94467	83.792915	2	2	true
63	-137.44807	-116.11593	2	0	false
211	-39.722782	-227.82648	2	0	false
11	364.2739	189.01263	2	5	false
237	-38.41037	232.35002	2	1	false
154	-220.079	-77.513214	2	4	false
54	-176.96591	-7.5732174	2	4	false
86	-126.01825	96.94666	2	1	false
39	432.41092	224.16791	2	5	false
158	-169.72685	51.45324	2	3	false
304	-122.018936	-146.33708	2	0	false
183	-157.81905	144.84898	2	1	false
3	343.5223	152.47182	2	0	false
165	30.751308	-216.93513	2	0	false
49	467.40546	396.5328	2	5	false
107	270.9436	72.773	2	0	false
261	16.516394	-202.80795	2	0	false
397	-169.40707	-98.97289	2	0	false
285	219.07117	-94.27633	2	0	false
390	-178.81738	-98.43525	2	4	false
65	170.22972	-143.70709	2	0	false
28	413.95804	357.2641	2	5	false
345	98.267456	-187.82684	2	0	false
33	363.1956	175.40982	2	5	false
263	-114.39874	166.73317	2	1	false
13	173.2994	441.5191	2	5	false
350	-225.06032	-21.077011	2	4	false
276	134.30276	-179.09984	2	0	false
26	341.62436	418.16544	2	5	false
274	-195.00926	71.41676	2	1	true
142	-132.22952	-180.49338	2	0	false
35	104.96326	335.95297	2	0	false
305	-76.24017	234.62534	2	1	false
219	-146.26271	83.09285	2	2	false
0	277.1073	400.46902	2	5	false
166	-80.78051	-203.6032	2	0	false
297	-153.91031	145.77835	2	1	false
202	-169.37378	-1.3816514	3	4	false
291	-149.8285	-16.915379	3	4	false
5	170.28421	341.6603	3	5	true
239	-102.210464	151.23398	3	1	true
192	8.129105	-187.91606	3	0	false
190	228.64421	56.324734	3	0	false
36	269.63177	366.39264	3	5	false
19	352.77722	203.18008	3	5	false
48	307.1513	363.72964	3	5	false
318	164.42943	-110.08678	3	0	false
313	-45.19538	-184.21477	3	0	true
169	238.48953	65.72174	3	0	false
269	-79.2686	-147.80869	3	0	false
364	-116.899086	-130.93163	3	0	false
70	-175.58673	-69.88502	3	4	false
127	-144.63612	25.10012	3	3	false
179	58.719772	-189.57101	3	0	false
205	-127.562775	51.11152	3	3	false
9	198.77304	384.98657	3	5	false
110	233.28996	121.15203	3	0	false
45	237.63974	88.05203	3	0	false
46	400.2488	351.053	3	5	false
4	93.304184	274.21243	3	0	false
15	207.3328	378.91437	3	5	true
312	-135.3989	41.25921	3	3	false
198	91.08376	-161.16245	3	0	false
242	-24.001627	195.9121	3	1	false
173	-101.36949	116.764534	3	1	true
184	-94.25323	171.62259	3	1	false
317	-85.77553	84.44634	3	1	false
388	-113.00454	-92.56574	3	0	false
42	370.99667	265.48236	3	5	false
99	64.6676	217.85243	3	1	false
40	305.04565	391.32852	3	5	false
10	245.78436	170.92078	3	0	false
354	189.03012	-35.059868	3	0	false
281	218.6951	42.70663	3	0	false
138	184.49918	-103.99098	3	0	false
47	280.99628	380.27472	3	5	false
116	-7.5169363	-182.52867	3	0	false
295	-58.077038	172.21033	3	1	false
31	359.3127	325.91153	3	5	false
188	-120.58565	142.06744	3	1	false
248	-17.261633	205.9887	3	1	false
6	167.8791	319.7927	3	5	false
243	-106.99147	70.00505	3	2	false
131	86.15263	-160.53932	3	0	false
189	95.01634	-158.8736	3	0	false
333	128.68137	-157.57364	3	0	false
20	382.08398	332.21274	3	5	true
143	-34.03024	-192.84978	3	0	false
161	17.708551	-174.7191	3	0	false
315	-126.70319	-63.375324	3	0	false
327	66.78446	-165.8527	3	0	false
254	-114.60662	-118.34885	3	0	false
218	-134.0711	-14.673349	4	3	false
375	-98.82942	-41.37355	4	3	true
341	167.02068	-26.380781	4	0	false
160	-65.52057	81.284355	4	2	false
93	45.75322	-143.1085	4	0	false
347	-61.457928	127.507545	4	1	false
398	144.54628	-60.484337	4	0	false
104	67.20122	168.91063	4	0	false
148	97.88459	-120.99116	4	0	false
151	42.936527	186.65938	4	1	false
240	-84.985756	68.72678	4	2	false
355	189.72972	132.07889	4	0	true
43	272.5358	311.34467	4	5	true
332	-67.39904	107.23487	4	1	true
155	-91.9165	-50.779438	4	0	false
37	308.9297	267.85446	4	5	false
369	-3.963546	-140.42252	4	0	false
379	84.30967	-131.24313	4	0	false
296	-11.672845	166.5245	4	1	false
38	281.16772	356.67572	4	5	false
193	181.3914	-18.924833	4	0	false
1	227.15976	352.49377	4	5	false
298	185.29535	139.05122	4	0	false
215	-72.99163	158.59717	4	1	false
232	-87.28207	109.106384	4	1	false
135	-93.96557	57.025276	4	2	false
186	-107.54701	44.895947	4	3	false
286	-116.8376	30.895033	4	3	false
121	-68.91426	72.25805	4	2	false
147	198.17632	91.71252	4	0	false
371	-25.431263	-158.06992	4	0	true
208	99.59814	220.54393	4	0	false
393	78.041756	-134.39442	4	0	false
108	220.67258	76.12612	4	0	false
234	-99.50245	-99.99502	4	0	false
