x1	x2	x3	x4	y1	y2	y3	y4
3.3733172	3.4682703	1.6839993	3.3733172	4.080916	5.209947	9.905153	4.080916
3.3733172	1.6839993	4.148158	3.3733172	4.080916	9.905153	1.2082952	4.080916
3.3733172	4.148158	3.4682703	3.3733172	4.080916	1.2082952	5.209947	4.080916
3.4682703	4.148158	5.1091847	3.4682703	5.209947	1.2082952	108.60496	5.209947
3.3229918	3.4682703	5.1091847	3.3229918	8.365402	5.209947	108.60496	8.365402
3.3229918	5.1091847	1.6839993	3.3229918	8.365402	108.60496	9.905153	8.365402
3.3229918	1.6839993	3.4682703	3.3229918	8.365402	9.905153	5.209947	8.365402
0.36108613	1.6839993	5.1091847	0.36108613	8.522375	9.905153	108.60496	8.522375
0.36108613	5.1091847	-47.1199	0.36108613	8.522375	108.60496	-49.31473	8.522375
0.36108613	-47.1199	1.6839993	0.36108613	8.522375	-49.31473	9.905153	8.522375
2.0068984	2.345533	1.6839993	2.0068984	0.035172105	0.14609993	9.905153	0.035172105
1.835013	2.0068984	1.6839993	1.835013	3.7177224	0.035172105	9.905153	3.7177224
1.835013	1.6839993	-47.1199	1.835013	3.7177224	9.905153	-49.31473	3.7177224
1.835013	-47.1199	2.0068984	1.835013	3.7177224	-49.31473	0.035172105	3.7177224
2.0068984	-47.1199	2.345533	2.0068984	0.035172105	-49.31473	0.14609993	0.035172105
2.345533	-47.1199	4.148158	2.345533	0.14609993	-49.31473	1.2082952	0.14609993
3.6652672	2.345533	4.148158	3.6652672	2.2435732	0.14609993	1.2082952	2.2435732
3.6652672	4.148158	1.6839993	3.6652672	2.2435732	1.2082952	9.905153	2.2435732
3.6652672	1.6839993	2.345533	3.6652672	2.2435732	9.905153	0.14609993	2.2435732
4.148158	-47.1199	57.338272	4.148158	1.2082952	-49.31473	-49.31473	1.2082952
9.4511595	4.7907743	9.857284	9.4511595	0.723685	1.2445879	0.32649457	0.723685
9.4511595	9.857284	8.738472	9.4511595	0.723685	0.32649457	2.4518304	0.723685
9.4511595	8.738472	4.7907743	9.4511595	0.723685	2.4518304	1.2445879	0.723685
4.7907743	8.738472	4.148158	4.7907743	1.2445879	2.4518304	1.2082952	1.2445879
4.7907743	4.148158	9.857284	4.7907743	1.2445879	1.2082952	0.32649457	1.2445879
9.857284	4.148158	57.338272	9.857284	0.32649457	1.2082952	-49.31473	0.32649457
9.857284	57.338272	8.738472	9.857284	0.32649457	-49.31473	2.4518304	0.32649457
9.309748	9.745382	8.738472	9.309748	6.4887342	9.655601	2.4518304	6.4887342
9.309748	8.738472	57.338272	9.309748	6.4887342	2.4518304	-49.31473	6.4887342
9.309748	57.338272	9.745382	9.309748	6.4887342	-49.31473	9.655601	6.4887342
9.745382	57.338272	5.1091847	9.745382	9.655601	-49.31473	108.60496	9.655601
9.745382	5.1091847	8.738472	9.745382	9.655601	108.60496	2.4518304	9.655601
7.389741	8.738472	5.1091847	7.389741	5.8858232	2.4518304	108.60496	5.8858232
5.9612823	7.389741	5.1091847	5.9612823	4.5637555	5.8858232	108.60496	4.5637555
5.4741383	5.9612823	5.1091847	5.4741383	4.546165	4.5637555	108.60496	4.546165
5.4741383	5.1091847	4.148158	5.4741383	4.546165	108.60496	1.2082952	4.546165
5.4741383	4.148158	5.9612823	5.4741383	4.546165	1.2082952	4.5637555	4.546165
5.9612823	4.148158	7.389741	5.9612823	4.5637555	1.2082952	5.8858232	4.5637555
5.783095	7.389741	4.148158	5.783095	2.0996575	5.8858232	1.2082952	2.0996575
5.783095	4.148158	8.738472	5.783095	2.0996575	1.2082952	2.4518304	2.0996575
5.783095	8.738472	7.389741	5.783095	2.0996575	2.4518304	5.8858232	2.0996575
